email,display_name,sort_order
aseanwonk@substack.com,ASEAN Wonk Newsletter,01
baiguan@substack.com,Baiguan,02
bambooworks@substack.com,Bamboo Works,03
beijingscroll@substack.com,Beijing Scroll,04
berthofman@substack.com,Bert’s Newsletter,05
bill@sinocism.com,Sinocism,06
chinabusinessspotlight@substack.com,China Business Spotlight,07
chinai@substack.com,ChinAI,08
chinapolicy@substack.com,CHINA POLICY,09
chinaarticles@substack.com,China Articles,10
chinatalk@substack.com,ChinaTalk,11
dexter@substack.com,Trade War,12
eastisread@substack.com,The East is Read,13
fredgao@substack.com,Inside China,14
gingerriver@substack.com,Ginger River Review (GRR),15
interconnect@substack.com,Interconnected!,16
investinginchina@substack.com,The Great Wall Street - Investing in China,17
lijingjing@substack.com,China Up Close,18
moneyhk@substack.com,Hong Kong Money Never Sleeps,19
pekingnology@substack.com,Pekingnology/CCG,20
robotic@substack.com,Interconnects,21
sinica+trivium-china@substack.com,Sinica Podcast,22
sinicalchina@substack.com,Sinical China,23
techbuzzchina@substack.com,Tech Buzz China Insider,24
thechinaweek@substack.com,The China Week,25
trackingpeoplesdaily@substack.com,Tracking People's Daily,26
treo@substack.com,Rare Earth Observer,27
yuzhehe@substack.com,Read China,28
zichen@substack.com,Pekingnology/CCG,29
crosspacificwatchers@substack.com,CrossPacificWatchers,30
