Date,Event,Organisation,Priority
15/06/2025,Father's Day,Hong Kong,Low
20/06/2025,Loan Prime Rate 1Y,PBoC,Medium
20/06/2025,Loan Prime Rate 5Y (Jun),PBoC,Medium
20/06/2025,FDI (YTD) YoY (May),SAFE,Medium
21/06/2025,Test,Hado,Low
24/06/2025,National People's Congress Standing Committee,CPC,Low
25/06/2025,National People's Congress Standing Committee,CPC,Low
26/06/2025,National People's Congress Standing Committee,CPC,Low
27/06/2025,National People's Congress Standing Committee,CPC,Low
27/06/2025,Industrial Profits (YTD) YoY (May),NBS,Low
27/06/2025,Current Account (Q1),SAFE,Low
30/06/2025,Manufacturing PMI (Jun),NBS,High
30/06/2025,General PMI (Jun),NBS,Low
30/06/2025,Non Manufacturing PMI (Jun),NBS,High
1/7/2025,Caixin Manufacturing PMI (Jun),Caixin,High
1/7/2025,Hong Kong Special Administrative Region Establishment Day,Hong Kong,Low
3/7/2025,Caixin Services PMI (Jun),Caixin,High
3/7/2025,Caixin Composite PMI (Jun),Caixin,Low
6/7/2025,"BRICS-Summit Rio de Janeiro, Brazil",BRICS,Medium
7/7/2025,"BRICS-Summit Rio de Janeiro, Brazil",BRICS,Medium
7/7/2025,Foreign Exchange Reserves (Jun),SAFE,Low
9/7/2025,Inflation Rate MoM (Jun),NBS,Medium
9/7/2025,PPI YoY (Jun),NBS,Medium
9/7/2025,Inflation Rate YoY (Jun),NBS,High
11/7/2025,Vehicle Sales YoY (Jun),CPCA,Low
12/7/2025,Exports YoY (Jun),GACC,High
12/7/2025,Imports YoY (Jun),GACC,High
12/7/2025,Balance of Trade (Jun),GACC,High
14/07/2025,New Yuan Loans (Jun),PBoC,Medium
14/07/2025,Total Social Financing (Jun),,Low
14/07/2025,M2 Money Supply YoY (Jun),PBoC,Low
14/07/2025,Outstanding Loan Growth YoY (Jun),,Low
15/07/2025,House Price Index YoY (Jun),NBS,Medium
15/07/2025,Industrial Production YoY (Jun),NBS,High
15/07/2025,Retail Sales YoY (Jun),NBS,High
15/07/2025,Fixed Asset Investment (YTD) YoY (Jun),NBS,Medium
15/07/2025,Industrial Capacity Utilization (Q2),,Low
15/07/2025,GDP Growth Rate YoY (Q2),NBS,High
15/07/2025,GDP Growth Rate QoQ (Q2),NBS,Medium
15/07/2025,Unemployment Rate (Jun),NBS,High
20/07/2025,Loan Prime Rate 1Y,PBoC,Medium
20/07/2025,Loan Prime Rate 5Y (Jul),PBoC,Medium
27/07/2025,Industrial Profits (YTD) YoY (Jun),NBS,Low
30/07/2025,FDI (YTD) YoY (Jun),SAFE,Medium
31/07/2025,NBS General PMI (Jul),NBS,Low
31/07/2025,NBS Manufacturing PMI (Jul),NBS,High
31/07/2025,NBS Non Manufacturing PMI (Jul),NBS,High
1/8/2025,Caixin Manufacturing PMI (Jul),Caixin,High
5/8/2025,Caixin Composite PMI (Jul),Caixin,Low
5/8/2025,Caixin Services PMI (Jul),Caixin,High
7/8/2025,Exports YoY (Jul),NBS,High
7/8/2025,Balance of Trade (Jul),GACC,High
7/8/2025,Imports YoY (Jul),GACC,High
7/8/2025,Foreign Exchange Reserves (Jul),PBoC,Low
8/8/2025,Current Account (Q2),SAFE,Medium
9/8/2025,PPI YoY (Jul),NBS,Medium
9/8/2025,Inflation Rate MoM (Jul),NBS,Medium
9/8/2025,Inflation Rate YoY (Jul),NBS,High
13/08/2025,Vehicle Sales YoY (Jul),CPCA,Low
28/09/2025,Special Working Day,China,Low
1/10/2025,National Day,Hong Kong,Low
2/10/2025,National Day Golden Week Holiday,China,Low
3/10/2025,National Day Golden Week Holiday,China,Low
4/10/2025,National Day Golden Week Holiday,China,Low
5/10/2025,National Day Golden Week Holiday,China,Low
6/10/2025,National Day Golden Week Holiday,China,Low
6/10/2025,Mid-Autumn Festival,China,Low
7/10/2025,National Day Golden Week Holiday,China,Low
7/10/2025,Day after Mid-Autumn Festival,Hong Kong,Low
8/10/2025,National Day Golden Week Holiday,China,Low
11/10/2025,Special Working Day,China,Low
29/10/2025,Double Ninth Festival,China,Low
29/10/2025,Chung Yeung Festival,Hong Kong,Low
25/12/2025,Christmas Day,Hong Kong,Low

